id;titulo;preco;endereco;detalhes;descricao;link;tamanho;quartos;vagas;suites;plantas;data_extracao
38;"SGCV, PARK SUL, BRASILIA";1900000.00;N/A;"116 m²
2 Quartos
2 Suítes
1 Vaga";"IMOBILIÁRIA CONDOMÍNIO PRIME PARK SUL -APARTAMENTO CONDOMÍNIO PRIME PARK SUL À VENDA";https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-park-sul-brasilia-df-sgcv-1114886;116;2;1;2;;"2025-04-11 08:43:29"
39;"SQSW 305 Bloco F, SUDOESTE, BRASILIA";1690000.00;N/A;"109 m²
3 Quartos
1 Suíte
2 Vagas";;https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sudoeste-brasilia-df-sqsw-305-bloco-f-1128046;109;3;2;1;;"2025-04-11 08:43:29"
40;"SQN 206, ASA NORTE, BRASILIA";1670000.00;N/A;"120 m²
3 Quartos
1 Suíte
1 Vaga";"SQN 206 APARTAMENTO VISTA LIVRE";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-206-1118313;120;3;1;1;;"2025-04-11 08:43:29"
41;"SQSW 500 Bloco Q SUDOESTE, BRASILIA";2310000.00;"SQSW 500 Parque Cidade";"126 m²
3 quartos
1 planta";"VIVA O ÚNICO, VIVA PARQUE CIDADE.";https://www.dfimoveis.com.br/imovel/lancamento-sqsw-500-parque-cidade-1088987;126;3;;;1;"2025-04-11 08:43:29"
42;"SQNW 310 Bloco H, NOROESTE, BRASILIA";1800000.00;N/A;"117 m²
3 Quartos
1 Suíte
2 Vagas";"TRÊS QUARTOS NO NOROESTE EM UM APARTAMENTO LINDO DE VIVER!";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-310-bloco-h-1110780;117;3;2;1;;"2025-04-11 08:43:29"
43;"SQS 214 Bloco J, ASA SUL, BRASILIA";1790000.00;N/A;"122 m²
3 Quartos
3 Suítes";;https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-214-bloco-j-1112278;122;3;;3;;"2025-04-11 08:43:29"
44;"SQS 304, ASA SUL, BRASILIA";2300000.00;N/A;"178 m²
3 Quartos
1 Suíte";"SQS 304 - VAZADO - VISTA LIVRE - REFORMADO";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-304-1103873;178;3;;1;;"2025-04-11 08:43:29"
45;"SQNW 304 Bloco D NOROESTE, BRASILIA";NULL;Essentia;"113 a 229 m²
3 quartos
2 plantas";"A SUA CASA É A SUA ESSÊNCIA";https://www.dfimoveis.com.br/imovel/lancamento-essentia-220986;"113 a 229";3;;;2;"2025-04-11 08:43:29"
46;"SQN 206, ASA NORTE, BRASILIA";1655000.00;N/A;"120 m²
3 Quartos
1 Suíte
1 Vaga";"SQN 206 APARTAMENTO 3 QUARTOS AMPLO E MODERNO";https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-206-1093847;120;3;1;1;;"2025-04-11 08:43:29"
47;"SQNW 109, NOROESTE, BRASILIA";2150000.00;N/A;"148 m²
4 Quartos
2 Suítes
3 Vagas";"SQNW 109 APARTAMENTO 4 QUARTOS VISTA LIVRE";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-109-953764;148;4;3;2;;"2025-04-11 08:43:29"
