cod,sigla,valor,periodo
12,AC,325,2019-01-15
25,PB,953,2019-01-15
42,SC,732,2020-01-15
35,SP,3396,2020-01-15
43,RS,2094,2020-01-15
28,SE,981,2020-01-15
23,CE,3992,2020-01-15
21,MA,2103,2020-01-15
53,DF,453,2020-01-15
25,PB,1141,2020-01-15
32,ES,1229,2020-01-15
51,MT,987,2020-01-15
15,PA,2809,2020-01-15
16,AP,387,2020-01-15
50,MS,491,2020-01-15
24,RN,1406,2020-01-15
29,BA,7076,2020-01-15
52,GO,2177,2020-01-15
22,PI,674,2020-01-15
31,MG,2743,2020-01-15
33,RJ,4831,2020-01-15
17,TO,484,2020-01-15
11,RO,456,2020-01-15
12,AC,304,2020-01-15
27,AL,1292,2020-01-15
26,PE,3786,2020-01-15
13,AM,1326,2020-01-15
41,PR,2281,2020-01-15
14,RR,237,2020-01-15
24,RN,1179,2021-01-15
50,MS,551,2021-01-15
51,MT,888,2021-01-15
27,AL,1070,2021-01-15
52,GO,1812,2021-01-15
33,RJ,4693,2021-01-15
23,CE,3471,2021-01-15
13,AM,1816,2021-01-15
26,PE,3439,2021-01-15
35,SP,3094,2021-01-15
22,PI,766,2021-01-15
32,ES,1253,2021-01-15
42,SC,712,2021-01-15
31,MG,2577,2021-01-15
14,RR,258,2021-01-15
25,PB,1144,2021-01-15
29,BA,7206,2021-01-15
43,RS,1889,2021-01-15
12,AC,205,2021-01-15
28,SE,790,2021-01-15
41,PR,2348,2021-01-15
17,TO,441,2021-01-15
11,RO,536,2021-01-15
16,AP,462,2021-01-15
21,MA,1999,2021-01-15
53,DF,401,2021-01-15
15,PA,2847,2021-01-15
53,DF,357,2022-01-15
15,PA,2901,2022-01-15
17,TO,454,2022-01-15
42,SC,671,2022-01-15
11,RO,601,2022-01-15
28,SE,770,2022-01-15
24,RN,1167,2022-01-15
22,PI,794,2022-01-15
12,AC,238,2022-01-15
51,MT,1077,2022-01-15
31,MG,2699,2022-01-15
41,PR,2600,2022-01-15
33,RJ,3762,2022-01-15
52,GO,1687,2022-01-15
50,MS,550,2022-01-15
21,MA,1942,2022-01-15
27,AL,1136,2022-01-15
23,CE,3030,2022-01-15
35,SP,3212,2022-01-15
25,PB,1105,2022-01-15
43,RS,1964,2022-01-15
32,ES,1147,2022-01-15
29,BA,6776,2022-01-15
13,AM,1771,2022-01-15
14,RR,231,2022-01-15
16,AP,358,2022-01-15
26,PE,3409,2022-01-15
31,MG,2795,2023-01-15
21,MA,2007,2023-01-15
17,TO,419,2023-01-15
23,CE,2992,2023-01-15
52,GO,1583,2023-01-15
25,PB,1079,2023-01-15
14,RR,219,2023-01-15
11,RO,552,2023-01-15
12,AC,217,2023-01-15
50,MS,584,2023-01-15
43,RS,1981,2023-01-15
27,AL,1194,2023-01-15
32,ES,1161,2023-01-15
35,SP,3043,2023-01-15
26,PE,3698,2023-01-15
29,BA,6615,2023-01-15
13,AM,1555,2023-01-15
16,AP,516,2023-01-15
22,PI,725,2023-01-15
15,PA,2542,2023-01-15
41,PR,2215,2023-01-15
28,SE,698,2023-01-15
42,SC,658,2023-01-15
24,RN,955,2023-01-15
51,MT,1105,2023-01-15
53,DF,348,2023-01-15
33,RJ,4291,2023-01-15
